Track 02_x,Track 02_y,Track 02_z,Track 03_x,Track 03_y,Track 03_z,Track 04_x,Track 04_y,Track 04_z,Track 05_x,Track 05_y,Track 05_z,Track 06_x,Track 06_y,Track 06_z,Track 07_x,Track 07_y,Track 07_z,Track 08_x,Track 08_y,Track 08_z,Track 1_x,Track 1_y,Track 1_z,Track 09_x,Track_09_y,Track_09_z,Track_10_x,Track_10_y,Track_10_z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.883358215,-0.742140906,1.473732072,-1.126859846,-0.7461872,1.386941474,-1.219882708,-0.709665803,1.478017065,-1.284387214,-0.78742567,1.282205483,-1.317693212,-0.651841979,1.197624185,NaN,NaN,NaN,-1.140652021,-0.714526886,1.244265721,-0.948392294,-0.750577276,1.475979012,NaN,NaN,NaN,NaN,NaN,NaN
-0.821148195,-0.704502843,1.473920319,-1.067455094,-0.738896642,1.384422803,-1.158999661,-0.720092647,1.464384364,-1.228724665,-0.765605,1.276594453,-1.264831633,-0.676996934,1.197737662,NaN,NaN,NaN,-1.077196835,-0.722682362,1.239226936,-0.88900391,-0.712529218,1.478840752,NaN,NaN,NaN,NaN,NaN,NaN
-0.766010007,-0.712660857,1.468454229,-1.009314895,-0.716814063,1.38173722,-1.093818182,-0.71336841,1.456500663,-1.170323655,-0.74366579,1.271139105,-1.218514784,-0.687666764,1.194614602,-1.047298523,-0.744854117,1.260780342,-1.016303516,-0.73196463,1.228381047,-0.832403112,-0.706099294,1.473329289,NaN,NaN,NaN,NaN,NaN,NaN
-0.705198137,-0.691165273,1.463048699,-0.947066245,-0.709755763,1.37654494,-1.033209314,-0.753317264,1.443085119,-1.109735599,-0.75153142,1.268778528,-1.165270035,-0.713030686,1.189072838,-0.986751244,-0.751714467,1.261246107,-0.957214951,-0.754440946,1.225983906,-0.771564373,-0.684629133,1.467923029,NaN,NaN,NaN,NaN,NaN,NaN
-0.647388225,-0.669827602,1.460320238,-0.88604401,-0.68871413,1.368367985,-0.962881195,-0.804888948,1.435931535,-1.051920612,-0.75949651,1.266266142,-1.097391886,-0.705569083,1.184226794,-0.931450788,-0.729991707,1.258474718,-0.89556778,-0.67465521,1.214890378,-0.712233528,-0.706463987,1.462795136,NaN,NaN,NaN,NaN,NaN,NaN
-0.589438485,-0.704828328,1.45804831,-0.825339144,-0.696463846,1.363191671,NaN,NaN,NaN,-0.989986647,-0.781549764,1.264034049,-1.035524015,-0.728886677,1.179135013,-0.869073472,-0.723232078,1.250481942,-0.835145516,-0.71122471,1.212605128,-0.654387455,-0.684970196,1.460065786,NaN,NaN,NaN,NaN,NaN,NaN
-0.525944135,-0.683110802,1.45279504,NaN,NaN,NaN,NaN,NaN,NaN,-0.921844619,-0.773536018,1.256333584,-0.969833497,-0.693237405,1.165607095,-0.804007974,-0.715526894,1.245468333,-0.774505751,-0.6887367,1.212985842,-0.593489267,-0.69238316,1.452072034,NaN,NaN,NaN,NaN,NaN,NaN
-0.466974804,-0.648014809,1.450033817,NaN,NaN,NaN,NaN,NaN,NaN,-0.857979335,-0.750932959,1.251187187,-0.903635237,-0.70002976,1.163541432,NaN,NaN,NaN,-0.720558256,-0.683819086,1.201732441,-0.52853259,-0.684503301,1.447007678,NaN,NaN,NaN,NaN,NaN,NaN
-0.401561568,-0.694962576,1.445408344,NaN,NaN,NaN,NaN,NaN,NaN,-0.791072843,-0.729743673,1.237716607,-0.832752986,-0.663289503,1.155984061,NaN,NaN,NaN,-0.657071909,-0.634034741,1.196551347,-0.46101988,-0.67522228,1.44773063,NaN,NaN,NaN,NaN,NaN,NaN
-0.329791962,-0.672212593,1.44060374,NaN,NaN,NaN,NaN,NaN,NaN,-0.726079359,-0.692658722,1.235436965,-0.766710698,-0.727536803,1.154006766,NaN,NaN,NaN,-0.584835805,-0.668932265,1.186393268,-0.394799336,-0.679784501,1.448487489,NaN,NaN,NaN,NaN,NaN,NaN
-0.259132671,-0.689141889,1.441684578,-0.502357886,-0.670603469,1.3492958,NaN,NaN,NaN,-0.655726542,-0.739542662,1.239393818,-0.694613528,-0.704344111,1.149374888,NaN,NaN,NaN,-0.512754546,-0.701511655,1.184697424,-0.331133182,-0.685466267,1.44345635,NaN,NaN,NaN,NaN,NaN,NaN
-0.197285698,-0.680303366,1.442107264,-0.438965417,-0.675778472,1.349905468,NaN,NaN,NaN,-0.586704518,-0.688042247,1.237287914,-0.629832883,-0.695575187,1.150037881,-0.476821482,-0.647191502,1.228949861,-0.447678025,-0.693981704,1.176877724,-0.264078026,-0.649139658,1.443959891,NaN,NaN,NaN,NaN,NaN,NaN
-0.130394369,-0.644344076,1.442609808,-0.369817582,-0.680354601,1.347991108,-0.448633118,-0.731593256,1.43182576,-0.517106689,-0.74927399,1.232739846,-0.563413951,-0.674107933,1.142282589,-0.405456804,-0.623568533,1.232733623,-0.372645968,-0.69860696,1.169619858,-0.197401347,-0.67982746,1.444925687,NaN,NaN,NaN,NaN,NaN,NaN
-0.061377164,-0.647718927,1.44350333,-0.305041927,-0.671814389,1.345772301,-0.380726947,-0.749077788,1.432761022,-0.446536337,-0.712807699,1.225112521,-0.497112233,-0.679598678,1.140218195,-0.334626175,-0.617273089,1.216759569,-0.30126387,-0.648965742,1.164920951,-0.132667882,-0.671040308,1.442675662,NaN,NaN,NaN,NaN,NaN,NaN
0.007341601,-0.69024848,1.441822416,-0.234021821,-0.690082255,1.338368405,-0.316890676,-0.658765428,1.429889539,-0.37551927,-0.73152728,1.217668616,-0.426698557,-0.670484275,1.138361475,-0.263453432,-0.662471654,1.212230436,-0.223738625,-0.652163913,1.163462087,-0.065285497,-0.661365261,1.443389151,NaN,NaN,NaN,NaN,NaN,NaN
0.074144166,-0.655079457,1.439505868,-0.165297648,-0.667404707,1.336295831,-0.252942083,-0.69065608,1.427882803,-0.316633598,-0.670749084,1.206549605,-0.367862367,-0.635822856,1.135859639,-0.186003895,-0.664912298,1.21358863,-0.1500241,-0.669343779,1.158984156,0.001853228,-0.691589254,1.438710198,NaN,NaN,NaN,NaN,NaN,NaN
0.134181134,-0.634143075,1.436929587,-0.097003856,-0.685423193,1.328740415,-0.185468447,-0.723823028,1.411912888,-0.25158364,-0.688545577,1.207272438,-0.306940036,-0.668244786,1.136354474,-0.120593,-0.617240229,1.208537793,-0.081641889,-0.646035401,1.162656104,0.073093707,-0.668082567,1.439537077,NaN,NaN,NaN,NaN,NaN,NaN
0.206240946,-0.637288029,1.4323341,-0.024374988,-0.649731554,1.324003005,-0.119217524,-0.636293077,1.403601741,-0.186700431,-0.68027544,1.202271215,-0.249773207,-0.646016384,1.14225829,-0.046156438,-0.619612862,1.212559323,-0.013582027,-0.662932485,1.160697847,0.137970744,-0.659964285,1.431652529,NaN,NaN,NaN,NaN,NaN,NaN
0.272475462,-0.64015511,1.433070687,0.045462353,-0.678908883,1.32222957,-0.046317579,-0.626121614,1.404622599,-0.113674819,-0.669791193,1.203364421,-0.188002539,-0.662209028,1.15409581,0.02185614,-0.573101814,1.204847571,0.057278389,-0.615593839,1.153188339,0.20692407,-0.661951244,1.435353599,NaN,NaN,NaN,NaN,NaN,NaN
