Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714.0,762.4778761061947,1568.0,887.9091769157993,820.0,819.8230088495575,1674.0,954.3235572374645,841.0,751.8584070796461,1688.0,880.7568590350047,853.0,712.566371681416,1706.0,848.0605487228004,730.0,768.8495575221239,1582.0,897.105014191107
700.0,753.9823008849557,1556.0,882.8003784295174,804.0,812.3893805309734,1658.0,947.1712393566698,829.0,744.4247787610619,1676.0,874.6263008514663,843.0,704.070796460177,1687.0,837.8429517502366,718.0,763.5398230088496,1572.0,890.9744560075686
687.0,749.7345132743362,1543.0,876.6698202459792,788.0,808.141592920354,1642.0,943.0842005676443,815.0,738.0530973451328,1662.0,867.4739829706717,830.0,701.9469026548672,1678.0,831.7123935666982,706.0,759.29203539823,1558.0,881.7786187322611
677.0,746.5486725663717,1531.0,868.4957426679281,774.0,803.8938053097345,1626.0,934.9101229895932,806.0,732.7433628318585,1652.0,861.3434247871334,823.0,699.8230088495575,1675.0,827.6253547776727,692.0,753.9823008849557,1548.0,877.6915799432355
668.0,742.3008849557523,NaN,NaN,756.0,797.5221238938053,1612.0,927.7578051087985,795.0,727.433628318584,1643.0,855.2128666035951,821.0,694.5132743362832,1672.0,824.5600756859035,683.0,749.7345132743362,1538.0,873.60454115421
659.0,735.929203539823,1520.0,865.4304635761589,739.0,791.150442477876,1594.0,919.5837275307474,786.0,723.1858407079646,1635.0,852.1475875118259,816.0,691.3274336283187,1666.0,821.4947965941344,673.0,744.4247787610619,1532.0,870.5392620624408
652.0,730.6194690265486,1509.0,858.2781456953642,730.0,784.7787610619469,1585.0,914.4749290444655,774.0,716.8141592920355,1624.0,846.0170293282877,809.0,678.5840707964602,1657.0,814.3424787133397,666.0,740.1769911504424,1523.0,864.4087038789025
641.0,725.3097345132743,1499.0,848.0605487228004,719.0,780.5309734513274,1574.0,907.3226111636708,760.0,710.4424778761062,1612.0,840.9082308420057,790.0,662.6548672566372,1635.0,804.1248817407758,655.0,731.6814159292036,1516.0,860.321665089877
631.0,715.7522123893805,NaN,NaN,NaN,NaN,NaN,NaN,749.0,706.1946902654868,1600.0,833.755912961211,763.0,663.716814159292,1613.0,796.972563859981,647.0,725.3097345132743,1510.0,853.1693472090823
622.0,709.3805309734513,NaN,NaN,NaN,NaN,NaN,NaN,737.0,699.8230088495575,1590.0,826.6035950804163,747.0,655.2212389380531,1597.0,786.7549668874171,640.0,718.9380530973451,1501.0,844.9952696310312
612.0,701.9469026548672,1474.0,826.6035950804163,NaN,NaN,NaN,NaN,726.0,693.4513274336283,1576.0,819.4512771996216,738.0,648.8495575221239,1587.0,779.6026490066225,626.0,709.3805309734513,1492.0,832.7341532639546
603.0,694.5132743362832,1465.0,817.4077578051089,NaN,NaN,NaN,NaN,719.0,686.0176991150443,1571.0,812.298959318827,732.0,647.787610619469,1583.0,774.4938505203406,621.0,705.1327433628318,1484.0,825.58183538316
599.0,690.2654867256637,1464.0,810.255439924314,NaN,NaN,NaN,NaN,711.0,677.5221238938053,1563.0,804.1248817407758,722.0,640.353982300885,1578.0,769.3850520340586,615.0,697.6991150442478,1479.0,820.4730368968779
592.0,680.70796460177,NaN,NaN,681.0,742.3008849557523,1540.0,868.4957426679281,703.0,672.212389380531,1558.0,796.972563859981,714.0,629.7345132743363,1575.0,759.1674550614948,609.0,689.2035398230088,1472.0,810.255439924314
585.0,671.1504424778761,1452.0,797.9943235572374,676.0,734.8672566371681,1534.0,860.321665089877,695.0,664.7787610619469,1553.0,788.79848628193,704.0,623.362831858407,1569.0,747.9280983916746,605.0,683.8938053097345,NaN,NaN
583.0,666.9026548672566,NaN,NaN,672.0,728.4955752212389,1530.0,854.1911069063386,687.0,656.283185840708,1548.0,778.5808893093662,698.0,618.0530973451328,1560.0,740.7757805108799,603.0,676.4601769911504,NaN,NaN
NaN,NaN,1447.0,779.6026490066225,670.0,720.0,1525.0,844.9952696310312,681.0,647.787610619469,1543.0,768.3632923368023,693.0,611.6814159292036,1555.0,735.6669820245979,599.0,671.1504424778761,NaN,NaN
575.0,658.4070796460177,NaN,NaN,665.0,710.4424778761062,1523.0,835.7994323557238,678.0,639.29203539823,1539.0,759.1674550614948,692.0,605.3097345132744,1555.0,722.3841059602648,593.0,664.7787610619469,NaN,NaN
574.0,650.9734513274336,NaN,NaN,660.0,701.9469026548672,1517.0,828.647114474929,678.0,631.858407079646,1538.0,750.9933774834437,700.0,596.8141592920354,1560.0,719.3188268684958,593.0,660.5309734513274,NaN,NaN
