Date,GoPro Vid ID,Usable Landings,Number of GP Landings,Sex,Start Frame,Impact Frame,End Frame,RSV Match,Number of Matches,RSV Vid ID,Number of Conspecifics,Notes
,,,179,,,,,,44,,,
20170228,A01e,1,,Male,745,820,835,0,,,11,
20170228,A01f,1,,Female,50,137,137,0,,,13,
20170305,A03,1,,Male,4,40,43,0,,,7,
20170305,B01b,1,,Male,10,25,50,0,,,3,
20170312,C01a,1,,Female,3,20,35,0,,,4,
20170312,C01b,1,,Male,70,115,130,0,,,5,
20170317,A01d,1,,Male,62,103,115,0,,,27,
20170317,A01e,1,,Male,1,25,34,0,,,33,
20170317,A03a,1,,Male,251,293,310,0,,,28,
20170317,A03b,1,,Male,3,51,70,0,,,24,
20170317,A05a,1,,Male,134,160,190,0,,,5,
20170317,A05b,1,,Male,275,300,330,0,,,7,
20170317,A06,1,,Male,25,67,80,0,,,10,
20170317,A07a,1,,Female,40,91,115,0,,,7,
20170317,A07b,1,,Male,51,97,119,0,,,8,
20170317,A08,1,,Male,31,48,80,0,,,9,
20170317,A09,1,,Female,10,50,60,0,,,12,
20170317,A10b,1,,Male,69,96,125,0,,,11,
20170317,A11a,1,,Male,30,70,100,0,,,11,
20170317,A11b,1,,Male,66,109,125,0,,,12,
20170317,A11c,1,,Female,206,291,310,0,,,13,
20170317,A11d,1,,Male,264,345,369,0,,,14,
20170317,A12,1,,Male,36,77,100,0,,,13,
20170522,B01,1,,Male,86,131,150,0,,,23,
20181018,A01a,1,,Male,108,139,162,0,,,10,
20181018,A01b,1,,Male,83,142,169,1,,A02,9,
20181018,A02a,1,,Male,51,79,104,1,,A03,6,
20181025,A01a,1,,Female,79,112,132,0,,,32,
20181025,A01b,1,,Male,74,115,144,0,,,34,
20181025,A03a,1,,Male,2,15,37,1,,B02,15,
20181025,A04a,1,,Female,45,71,102,0,,,2,
20181025,A04b,1,,Male,104,127,153,0,,,2,
20181025,A04c,1,,Male,97,137,167,0,,,3,
20181025,A04d,0,,Male,nan,nan,nan,0,,,,Only visible in Cam05
20181025,A04e,0,,Male,142,179,206,0,,,,Can't digitize impact
20181025,A04f,1,,Male,176,183,198,0,,,6,
20181025,A04g,1,,Male,163,199,231,0,,,6,
20181025,A04h,1,,Male,188,202,240,0,,,7,
20181025,A04i,1,,Female,198,210,242,0,,,8,
20181025,A04j,1,,Male,167,215,236,0,,,9,
20181025,A04k,0,,Male,nan,220,nan,0,,,,Only visible in Cam05
20181025,A04l,1,,Male,198,232,267,0,,,7,
20181025,A05a,0,,Male,nan,179,nan,0,,,,"Only recorded in two cameras, tirgger error"
20181025,A05b,0,,Male,nan,192,nan,0,,,,"Only recorded in two cameras, tirgger error"
20181025,B01a,0,,Male,44,65,88,0,,,,"Guide way off, bad calibration for some reason"
20181025,B01b,0,,Male,nan,122,nan,0,,C02a,,Only visible in Cam05
20181025,B01c,0,,Male,207,223,nan,0,,,,Guides way off
20181025,B01d,0,,Male,nan,nan,nan,0,,,,Only visible in Cam05
